term,category,mark,sentiment,type
морс,Food,Rel,neutral,explicit
уже не до пасты,Service,Rel,negative,fct
пасты,Food,Rel,neutral,explicit
принесут,Service,Irr,positive,explicit
пасту,Food,Irr,neutral,explicit
поесть,Food,Irr,neutral,explicit
Заплатили,Price,Rel,neutral,explicit
пасту,Food,Rel,neutral,explicit
попробовать,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
кухне,Food,Rel,positive,explicit
сервис,Service,Rel,negative,explicit
ресторан,Whole,Rel,both,explicit
поесть,Food,Rel,negative,explicit
живую музыку,Interior,Rel,positive,explicit
Заказали столик,Service,Rel,neutral,explicit
первом этаже,Interior,Rel,neutral,explicit
кафешка,Whole,Rel,neutral,explicit
втором этаже,Interior,Rel,neutral,explicit
3 зала,Interior,Rel,neutral,explicit
еды,Food,Rel,neutral,explicit
соответствовало своим вкусовым качествам и моему вкусу,Food,Rel,positive,fct
роллы Филадельфия,Food,Irr,positive,explicit
греческий салат,Food,Rel,positive,explicit
пиво,Food,Rel,positive,explicit
Меню,Food,Rel,positive,explicit
цены,Price,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
Столики,Interior,Rel,positive,explicit
музыка,Interior,Rel,positive,explicit
Уютное,Interior,Rel,positive,implicit
место,Whole,Rel,positive,explicit
дружелюбно,Service,Rel,positive,implicit
вкусно,Food,Rel,positive,implicit
свободных мест было достаточно,Interior,Rel,positive,fct
удобные,Interior,Rel,positive,implicit
диванчики,Interior,Rel,positive,explicit
стол для большой компании,Interior,Rel,positive,fct
Официант-бармен,Service,Rel,positive,explicit
заведения,Whole,Rel,positive,explicit
Заказ приняли,Service,Rel,positive,explicit
быстро,Service,Irr,positive,implicit
принесли,Service,Rel,positive,explicit
Лимонад,Food,Rel,neutral,explicit
салат,Food,Rel,neutral,explicit
стейк,Food,Rel,neutral,explicit
кофе,Food,Rel,neutral,explicit
сидеть над пустой тарелкой не пришлось,Service,Rel,positive,fct
Еда,Food,Rel,positive,explicit
вкусная,Food,Rel,positive,implicit
Стейк,Food,Rel,positive,explicit
стейком,Food,Cmpr,positive,explicit
куском жаренного мяса,Food,Irr,negative,explicit
приборы,Interior,Rel,positive,explicit
посуда,Interior,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
Чек,Price,Rel,positive,explicit
Чек был на 860 руб,Price,Rel,positive,fct
дешево,Price,Rel,positive,implicit
Кофе был в подарок,Service,Rel,positive,fct
Кофе,Food,Rel,positive,explicit
заведение,Whole,Cmpr,positive,explicit
заведение,Whole,Rel,neutral,explicit
место,Whole,Rel,positive,explicit
место,Whole,Rel,positive,explicit
место,Whole,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
Персонал,Service,Rel,positive,explicit
приветливый,Service,Rel,positive,implicit
отзывчивый,Service,Rel,positive,implicit
Еда,Food,Rel,positive,explicit
порции,Food,Rel,positive,explicit
ресторана,Whole,Rel,negative,explicit
очень людно,Interior,Rel,negative,fct
заказывайте стол заранее,Service,Rel,negative,fct
Обстановка,Interior,Rel,positive,explicit
уютная,Interior,Rel,positive,implicit
возможность выбрать цвет интерьера,Interior,Rel,positive,fct
интерьера,Interior,Rel,positive,explicit
оформили зал в бело-розовых тонах,Interior,Rel,positive,fct
зал,Interior,Rel,positive,explicit
красиво,Interior,Rel,positive,implicit
вкуснейшей,Food,Rel,positive,implicit
еды,Food,Irr,positive,explicit
Не навязчивое,Service,Rel,positive,implicit
обслуживание официантов,Service,Rel,positive,explicit
убирали со столов,Service,Rel,positive,explicit
приносили,Service,Rel,positive,explicit
блюда,Food,Rel,neutral,explicit
напитки,Food,Rel,neutral,explicit
система кондиционирования,Interior,Rel,positive,explicit
зале,Interior,Rel,positive,explicit
комфортно,Interior,Rel,positive,implicit
официанты,Service,Rel,positive,explicit
администратор,Service,Rel,positive,explicit
упаковали всё в свои ланч-боксы,Service,Rel,positive,fct
банкетый зал,Interior,Rel,positive,explicit
ресторан,Whole,Rel,neutral,explicit
основной зал,Interior,Rel,negative,explicit
детская комната,Interior,Rel,positive,fct
с ребенком сидела няня пока мы ужинали,Service,Rel,positive,fct
няня,Service,Rel,positive,explicit
ужинали,Food,Rel,positive,explicit
бесплатное,Price,Rel,positive,implicit
детское меню,Food,Rel,positive,explicit
музыка,Interior,Rel,both,explicit
живая музыка,Interior,Rel,positive,fct
Обслуживал,Service,Rel,positive,explicit
молодой человек,Service,Rel,positive,explicit
блюда,Food,Rel,positive,explicit
Кухня,Food,Irr,positive,explicit
Вкусный,Food,Rel,positive,implicit
шашлык,Food,Rel,positive,explicit
выбор салатов,Food,Rel,positive,explicit
выбор алкоголя,Food,Rel,positive,explicit
цена,Price,Rel,positive,explicit
заведение,Whole,Rel,negative,explicit
место,Whole,Rel,negative,explicit
гостей никто не встречает,Service,Rel,negative,fct
не провожает к столу,Service,Rel,negative,fct
зал для курящих или не курящих предложен вообще не был,Service,Rel,negative,fct
зал для курящих,Interior,Rel,neutral,explicit
бизнес-ланч,Food,Rel,neutral,explicit
меню я так и не увидела,Service,Rel,negative,fct
Заказ был принят,Service,Rel,negative,explicit
вслед уходящему официанту мы договаривали свой заказ,Service,Rel,negative,fct
официанту,Service,Rel,negative,explicit
чай,Food,Rel,negative,explicit
принесли без жасмина,Service,Rel,negative,fct
хлеб,Food,Rel,neutral,explicit
хлеб не был предложен,Service,Rel,negative,fct
ничего предложено не было,Service,Rel,negative,fct
обслуживанием,Service,Rel,negative,explicit
заведения,Whole,Rel,negative,explicit
`счёт нам вынесли,когда мы еще кушали`,Service,Rel,negative,fct
кушали,Food,Rel,neutral,explicit
заведении,Whole,Rel,negative,explicit
Интерьер,Interior,Rel,positive,explicit
диванчики,Interior,Rel,negative,explicit
место,Whole,Rel,neutral,explicit
кухня,Food,Rel,positive,explicit
заведении,Whole,Rel,neutral,explicit
блюд,Food,Rel,neutral,explicit
пасту,Food,Rel,positive,explicit
вкус,Food,Rel,positive,explicit
Порции,Food,Rel,positive,explicit
блюд,Food,Rel,positive,explicit
бифштекс,Food,Rel,negative,explicit
бифштекс,Food,Cmpr,neutral,explicit
заведении,Whole,Rel,neutral,explicit
домашнее мороженое,Food,Rel,positive,explicit
десертов,Food,Cmpr,neutral,explicit
Официантки,Service,Rel,positive,explicit
приветливы,Service,Rel,positive,implicit
Приносят,Service,Rel,positive,explicit
уносят,Service,Rel,positive,explicit
Блюда подаются после заказа очень быстро,Service,Rel,positive,fct
Блюда,Food,Rel,neutral,explicit
подаются,Service,Rel,positive,explicit
место,Whole,Rel,positive,explicit
Интерьер,Interior,Rel,positive,explicit
уютный,Interior,Rel,positive,implicit
выбор столиков,Interior,Rel,positive,fct
заведение,Whole,Rel,positive,explicit
бронировать стол,Service,Prev,neutral,explicit
бесплатно,Price,Rel,positive,implicit
ресторана,Whole,Rel,negative,explicit
паба,Whole,Rel,negative,explicit
Встретила,Service,Rel,negative,explicit
обслуживала,Service,Rel,negative,explicit
хамоватая,Service,Rel,negative,implicit
официантка,Service,Rel,negative,explicit
Половина блюд из меню в наличии не было,Food,Rel,negative,fct
блюд из меню,Food,Rel,negative,explicit
официантка,Service,Rel,negative,explicit
сырные палочки,Food,Rel,neutral,explicit
офицантка,Service,Rel,neutral,explicit
уронила на пол,Service,Rel,negative,fct
палочки,Food,Rel,negative,explicit
палочек,Food,Rel,negative,explicit
место,Whole,Rel,positive,explicit
выпить,Food,Rel,neutral,explicit
пиво,Food,Rel,neutral,explicit
цезарь с креветками,Food,Rel,negative,explicit
курицы не оказалось,Food,Rel,negative,fct
курицы,Food,Rel,negative,explicit
официантка,Service,Rel,negative,explicit
не слишком вежливо поинтересовалась,Service,Rel,negative,fct
поадекватнее,Service,Irr,positive,implicit
персонал,Service,Irr,positive,explicit
блюда,Food,Irr,positive,explicit
блюда все в наличии,Food,Irr,positive,fct
ресторан,Whole,Cmpr,neutral,explicit
кафе &quot;Кон-Коронель,Whole,Rel,neutral,explicit
месте,Whole,Rel,positive,explicit
шоу программа,Interior,Rel,positive,explicit
ведущая,Interior,Rel,positive,explicit
доброжелательную,Interior,Rel,positive,implicit
непренуждённую,Interior,Rel,positive,implicit
атмосферу,Interior,Rel,positive,explicit
кухни,Food,Rel,positive,explicit
обслуживания,Service,Rel,positive,explicit
официанты,Service,Rel,positive,explicit
дружелюбные,Service,Rel,positive,implicit
банкетного меню,Food,Rel,positive,explicit
администратору Ирине,Service,Rel,positive,explicit
ресторану,Whole,Rel,positive,explicit
персоналу,Service,Rel,positive,explicit
выбора места,Whole,Cmpr,neutral,explicit
Кон-Коронель,Whole,Rel,positive,explicit
Санам,Whole,Rel,neutral,explicit
интерьер,Interior,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
быстро,Service,Rel,positive,implicit
ненавязчиво,Service,Rel,positive,implicit
Кухня,Food,Rel,positive,explicit
блюда,Food,Rel,positive,explicit
блюдо,Food,Rel,positive,explicit
порции,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
кальян,Food,Rel,positive,explicit
выбор коктейлей,Food,Rel,positive,explicit
оргазм,Food,Rel,positive,explicit
клубничная маргарита,Food,Rel,positive,explicit
уютное,Interior,Rel,positive,explicit
место,Whole,Rel,positive,explicit
Быстрое,Service,Rel,positive,implicit
вежливое,Service,Rel,positive,implicit
обслуживание,Service,Rel,positive,explicit
Вкусное,Food,Rel,positive,implicit
свежее,Food,Rel,positive,implicit
пиво,Food,Rel,positive,explicit
свежесваренное,Food,Rel,positive,implicit
кухне,Food,Rel,neutral,explicit
кусок свинины,Food,Rel,positive,explicit
место,Whole,Rel,positive,explicit
уюта,Interior,Rel,positive,implicit
второй этаж,Interior,Rel,positive,explicit
свежего,Food,Rel,positive,implicit
пива,Food,Rel,positive,explicit
пивном ресторане,Whole,Cmpr,neutral,explicit
ПИВО,Food,Cmpr,neutral,explicit
хлебные греночки с сыром,Food,Rel,positive,explicit
сушки с перчиком,Food,Rel,positive,explicit
десертик,Food,Rel,positive,explicit
Карпаччо из ананаса,Food,Rel,positive,explicit
манго в имбирном соусе,Food,Rel,positive,explicit
внимательном,Service,Rel,positive,implicit
отношении к посетителям,Service,Rel,positive,explicit
сырные шарики,Food,Prev,neutral,explicit
официантка,Service,Prev,positive,explicit
заказать другую закуску ЗА СЧЕТ ЗАВЕДЕНИЯ,Service,Prev,positive,fct
закуску,Food,Prev,positive,explicit
ЗАВЕДЕНИЯ,Whole,Prev,positive,explicit
сырными шариками,Food,Prev,negative,explicit
замена за счет заведения,Service,Prev,positive,fct
заведения,Whole,Prev,positive,explicit
ресторане,Whole,Rel,neutral,explicit
уютном,Interior,Irr,positive,implicit
месте,Whole,Irr,positive,explicit
кухней,Food,Irr,positive,explicit
заказан столик,Service,Rel,neutral,explicit
2 этаже,Interior,Rel,neutral,explicit
тоже забронирован это стол,Service,Rel,negative,fct
заведении,Whole,Rel,negative,explicit
салатов,Food,Rel,negative,explicit
салата цезарь,Food,Rel,negative,explicit
соус,Food,Rel,negative,explicit
невкусный,Food,Rel,negative,implicit
курица,Food,Rel,negative,explicit
салат с авокадо,Food,Rel,both,explicit
горячего,Food,Rel,neutral,explicit
манты,Food,Rel,negative,explicit
десерты,Food,Rel,positive,explicit
Пирожные,Food,Rel,positive,explicit
вкусные,Food,Rel,positive,implicit
торт из шоколада,Food,Rel,positive,explicit
ресторана,Whole,Rel,negative,explicit
оставили 10 тысяч,Price,Rel,neutral,explicit
еда,Food,Rel,neutral,explicit
алкогольному коктейлю,Food,Rel,neutral,explicit
Кухня,Food,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
места довольно много,Interior,Rel,positive,fct
салат цезарь,Food,Rel,neutral,explicit
ролл Радуга,Food,Irr,neutral,explicit
чизкейк,Food,Rel,neutral,explicit
Салат,Food,Rel,positive,explicit
вкусный,Food,Rel,positive,implicit
соус,Food,Rel,negative,explicit
Ролл Радуга,Food,Rel,negative,explicit
`роллы огромные, в рот не влезают`,Food,Rel,negative,fct
роллы,Food,Rel,negative,explicit
вкус,Food,Rel,positive,explicit
Чизкейк,Food,Rel,both,explicit
вкусный,Food,Rel,positive,implicit
клубничного пюре,Food,Rel,negative,explicit
рис с курицей,Food,Rel,positive,explicit
вкусный,Food,Rel,positive,implicit
цена,Price,Rel,positive,explicit
мисо суп,Food,Rel,negative,explicit
безвкусный,Food,Rel,negative,implicit
тирамису,Food,Irr,positive,explicit
долго ждали,Service,Rel,negative,fct
меню несут быстро,Service,Cmpr,positive,fct
обслуживали,Service,Rel,positive,explicit
быстро,Service,Rel,positive,implicit
Официант,Service,Rel,both,explicit
не очень улыбчивый,Service,Rel,negative,implicit
вежливый,Service,Rel,positive,implicit
ресторан,Whole,Cmpr,neutral,explicit
&quot;Мидзуки&quot;,Whole,Rel,positive,explicit
уютное,Interior,Rel,positive,implicit
место,Whole,Rel,positive,explicit
вкусная,Food,Rel,positive,implicit
еда,Food,Rel,positive,explicit
роллы,Food,Rel,positive,explicit
рис с курицей,Food,Rel,positive,explicit
музыка,Interior,Rel,positive,explicit
Сервис,Service,Rel,positive,explicit
официантки,Service,Rel,positive,explicit
Ждать заказа,Service,Rel,positive,explicit
ресторана,Whole,Irr,neutral,explicit
вечер,Whole,Rel,positive,explicit
ресторане,Whole,Prev,neutral,explicit
вкусную,Food,Prev,positive,implicit
пиццу на тонком тесте,Food,Prev,positive,explicit
ела,Food,Prev,neutral,explicit
Da Albertone,Whole,Rel,positive,explicit
место,Whole,Irr,positive,explicit
встретил,Service,Rel,positive,explicit
официант,Service,Rel,positive,explicit
гардеробщик,Service,Rel,positive,explicit
вежливо,Service,Rel,positive,implicit
раздели-проводили,Service,Rel,positive,explicit
Зал,Interior,Rel,neutral,explicit
пасту Карбонару,Food,Rel,neutral,explicit
ролл Филадельфияи,Food,Rel,neutral,explicit
десерт,Food,Rel,neutral,explicit
Тирамису,Food,Rel,neutral,explicit
Карбонара,Food,Rel,positive,explicit
ароматная,Food,Rel,positive,implicit
паста,Food,Rel,positive,explicit
Филадельфию,Food,Rel,positive,explicit
лосося-филадельфии-чуток риса,Food,Rel,positive,explicit
Десерт Тирамису,Food,Rel,positive,explicit
таял во рту,Food,Rel,positive,implicit
Атмосфера,Interior,Rel,positive,explicit
уютное,Interior,Rel,positive,implicit
спокойное,Interior,Rel,positive,explicit
место,Whole,Rel,positive,explicit
музыка,Interior,Rel,positive,explicit
дамской комнате,Interior,Rel,negative,explicit
убираются,Interior,Rel,negative,explicit
Урна полностью забита,Interior,Rel,negative,fct
заведение,Whole,Rel,neutral,explicit
обслуживание,Service,Rel,positive,explicit
доброжелательная,Service,Rel,positive,implicit
улыбчивая,Service,Rel,positive,implicit
администратор Екатерина,Service,Rel,positive,explicit
встретила,Service,Rel,positive,explicit
посадила,Service,Rel,positive,explicit
столик,Interior,Rel,positive,explicit
Обслуживала,Service,Rel,positive,explicit
девушка-официант,Service,Rel,positive,explicit
фондю,Food,Rel,positive,explicit
обслуживали,Service,Rel,positive,explicit
оперативно,Service,Rel,positive,implicit
не сказалось на качестве блюда,Food,Rel,positive,fct
блюда,Food,Rel,positive,explicit
Официант,Service,Rel,positive,explicit
обслуживающий персонал,Service,Rel,positive,explicit
знает своё дело,Service,Rel,positive,fct
&quot;Чердак Художника&quot;,Whole,Rel,positive,explicit
местом,Whole,Rel,positive,explicit
ресторана,Whole,Rel,neutral,explicit
интерьера,Interior,Rel,positive,explicit
кухни,Food,Rel,positive,explicit
шеф повару,Food,Rel,positive,explicit
выбор закусок,Food,Rel,positive,explicit
пиву,Food,Rel,neutral,explicit
перчики халапена,Food,Rel,positive,explicit
блюдо,Food,Rel,positive,explicit
цены,Price,Rel,positive,explicit
порции,Food,Rel,positive,explicit
ресторанов,Whole,Cmpr,positive,explicit
вкусно,Food,Rel,positive,implicit
не дорого,Price,Rel,positive,implicit
покушать,Food,Rel,positive,explicit
обслуживающий персонал,Service,Rel,positive,explicit
Девушка,Service,Rel,positive,explicit
обслуживала,Service,Rel,positive,explicit
разбирается в предсталенной рестораном еде,Service,Rel,positive,fct
рестораном,Whole,Rel,neutral,explicit
еде,Food,Rel,neutral,explicit
порекомендовала,Service,Rel,positive,explicit
закуски,Food,Rel,neutral,explicit
пиво,Food,Rel,positive,explicit
на любой вкус,Food,Rel,positive,implicit
бармен,Service,Rel,positive,explicit
пиве,Food,Rel,neutral,explicit
подобрал каждому из нас пиво по вкусу,Service,Rel,positive,fct
пиво,Food,Rel,positive,explicit
пивном баре,Whole,Rel,positive,explicit
Гроссенштрассе,Whole,Rel,positive,explicit
рестораны,Whole,Cmpr,neutral,explicit
уютном,Interior,Cmpr,positive,implicit
кафе,Whole,Cmpr,positive,explicit
место,Whole,Rel,positive,explicit
выпить,Food,Rel,neutral,explicit
кофе,Food,Rel,neutral,explicit
кафе &quot;White-Rabbit&quot;,Whole,Rel,positive,explicit
уютная,Interior,Rel,positive,implicit
атмосфера,Interior,Rel,positive,explicit
приветливый,Service,Rel,positive,implicit
персонал,Service,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
дизайнеру,Interior,Rel,positive,explicit
пила,Food,Rel,positive,explicit
американо,Food,Rel,positive,explicit
вкусный,Food,Rel,positive,implicit
ела,Food,Rel,positive,explicit
филадельфию,Food,Rel,positive,explicit
продукты,Food,Rel,positive,explicit
свежие,Food,Rel,positive,implicit
кофе,Food,Rel,positive,explicit
ароматный,Food,Rel,positive,implicit
стейка,Food,Rel,neutral,explicit
стриплойн,Food,Rel,neutral,explicit
красного вина,Food,Rel,neutral,explicit
стейки,Food,Rel,positive,explicit
вкусные,Food,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
тарелки исчезают сразу же,Service,Rel,positive,fct
вина,Food,Prev,neutral,explicit
место,Whole,Rel,positive,explicit
ресторанчик,Whole,Rel,positive,explicit
обслуживанию,Service,Rel,negative,explicit
долго ждали официанта с меню,Service,Rel,negative,fct
официанта,Service,Rel,negative,explicit
Интерьер,Interior,Rel,neutral,explicit
блюд,Food,Rel,neutral,explicit
томатный суп,Food,Rel,neutral,explicit
ризотто с белыми грибами,Food,Rel,neutral,explicit
пасту с креветками,Food,Rel,neutral,explicit
Цезарь,Food,Rel,neutral,explicit
Порции,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
Цезарь с курицей,Food,Rel,negative,explicit
соус,Food,Rel,negative,explicit
невкусный,Food,Rel,negative,implicit
рыбным запахом,Food,Rel,negative,fct
место,Whole,Rel,positive,explicit
вкусной,Food,Rel,positive,implicit
трапезы итальянской кухни,Food,Rel,positive,explicit
цене,Price,Rel,positive,explicit
VIP зале,Interior,Rel,neutral,explicit
оформление стола,Interior,Rel,positive,explicit
подсвечник с горящими свечами,Interior,Rel,positive,explicit
уютную,Interior,Rel,positive,implicit
атмосферу,Interior,Rel,positive,explicit
Обслуживание,Service,Rel,positive,explicit
тарелки убирали сразу,Service,Rel,positive,fct
блюда,Food,Rel,neutral,explicit
приносили,Service,Rel,positive,explicit
быстро,Service,Rel,positive,implicit
не надо было ждать,Service,Rel,positive,fct
Кухня,Food,Rel,positive,explicit
размер порций,Food,Rel,positive,explicit
свежим,Food,Rel,positive,implicit
вкусным,Food,Rel,positive,implicit
отсутствие живой музыки,Interior,Rel,negative,fct
небольшие деньги,Price,Rel,positive,fct
деньги,Price,Rel,positive,explicit
поели,Food,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
Интерьер,Interior,Rel,positive,explicit
лаконичный,Interior,Rel,positive,implicit
уютно,Interior,Rel,positive,implicit
по-домашнему,Interior,Rel,positive,implicit
Обслуживание,Service,Rel,positive,explicit
быстрое,Service,Rel,positive,implicit
внимательное,Service,Rel,positive,implicit
Еда,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
салат &quot;Цезарь&quot;,Food,Rel,positive,explicit
спагетти Карбонара,Food,Rel,positive,explicit
лазанью,Food,Rel,positive,explicit
стейк из лосося,Food,Rel,positive,explicit
быстро,Service,Irr,positive,implicit
ресторану,Whole,Rel,positive,explicit
выпить,Food,Rel,neutral,explicit
пива,Food,Rel,neutral,explicit
Столик заказали,Service,Rel,neutral,explicit
встретили,Service,Rel,positive,explicit
проводили,Service,Rel,positive,explicit
принесли меню,Service,Rel,positive,explicit
оперативно,Service,Rel,positive,implicit
Заведение,Whole,Rel,positive,explicit
Интерьер,Interior,Rel,neutral,explicit
пабах,Whole,Cmpr,neutral,explicit
стеллажи с книгами,Interior,Rel,positive,fct
диваны,Interior,Rel,positive,explicit
Пиво,Food,Rel,positive,explicit
вкусное,Food,Rel,positive,implicit
отварные креветки,Food,Rel,neutral,explicit
креветки,Food,Rel,both,explicit
креветки,Food,Cmpr,neutral,explicit
салат &quot;Салмон&quot; с лососем,Food,Rel,both,explicit
пресноват,Food,Rel,negative,implicit
соуса,Food,Rel,negative,explicit
кольца кальмара в кляре,Food,Rel,positive,explicit
пиво,Food,Rel,neutral,explicit
мясные чипсы из говядины,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
Рагу,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
бульон с мясом,Food,Cmpr,neutral,explicit
королевские креветки с соусом,Food,Rel,positive,explicit
вкусное,Food,Rel,positive,implicit
блюдо,Food,Rel,positive,explicit
цены,Price,Rel,neutral,explicit
одна официантка на весь зал,Service,Rel,negative,fct
официантка,Service,Rel,negative,explicit
столики,Interior,Rel,neutral,explicit
напитки,Food,Rel,neutral,explicit
блюда,Food,Rel,neutral,explicit
долго ждать не приходилось,Service,Irr,positive,fct
приветливости,Service,Rel,both,implicit
счёт,Price,Rel,neutral,explicit
заведение,Whole,Rel,positive,explicit
Дугласе,Whole,Rel,neutral,explicit
интерьер,Interior,Rel,positive,explicit
кабинке на диване,Interior,Rel,positive,fct
комфортно,Interior,Rel,positive,implicit
барную стойку,Interior,Rel,neutral,explicit
сочетание в одном заведении ресторана и бара,Interior,Rel,positive,fct
заведении,Whole,Rel,positive,explicit
ресторана,Whole,Rel,positive,explicit
бара,Whole,Rel,positive,explicit
кухни,Food,Rel,neutral,explicit
европейские и японские блюда,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
порции,Food,Rel,positive,explicit
Меню,Food,Rel,both,explicit
выбор алкоголя,Food,Rel,positive,explicit
коктейлей,Food,Rel,neutral,explicit
пива,Food,Rel,neutral,explicit
виски,Food,Rel,neutral,explicit
выпить,Food,Rel,positive,explicit
поесть,Food,Rel,positive,explicit
Напитки,Food,Rel,neutral,explicit
приносили сразу,Service,Rel,positive,fct
блюда,Food,Rel,neutral,explicit
ждать приходилось не долго,Service,Rel,positive,fct
вечер,Whole,Rel,positive,explicit
заведение,Whole,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
Встретили,Service,Rel,positive,explicit
Показали свободный столик,Service,Rel,neutral,explicit
Милая,Service,Rel,positive,implicit
девушка,Service,Rel,positive,explicit
принесла меню,Service,Rel,neutral,explicit
Меню,Food,Rel,positive,explicit
салат из говяжей вырезки,Food,Rel,neutral,explicit
суп мясной,Food,Rel,neutral,explicit
каре баранины,Food,Rel,neutral,explicit
сок,Food,Irr,neutral,explicit
девушка,Service,Rel,neutral,explicit
натуральный морс,Food,Rel,neutral,explicit
салат,Food,Rel,positive,explicit
суп,Food,Rel,positive,explicit
Каре баранины,Food,Rel,positive,explicit
порции,Food,Rel,positive,explicit
повару,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
Интерьер,Interior,Rel,positive,explicit
красивый,Interior,Rel,positive,implicit
со вкусом,Interior,Rel,positive,implicit
Цвет,Interior,Rel,positive,explicit
гамма,Interior,Rel,positive,explicit
стулья,Interior,Rel,positive,explicit
красиво,Interior,Irr,positive,implicit
удобно,Interior,Rel,positive,implicit
поужинать,Food,Rel,positive,explicit
Сервис,Service,Rel,positive,explicit
ресторане &quot;Любимый&quot;,Whole,Rel,neutral,explicit
ужин,Food,Rel,neutral,explicit
Интерьер ресторана,Interior,Rel,positive,explicit
Обслуживающий персонал,Service,Rel,negative,explicit
обслуживания,Service,Rel,negative,explicit
официант Анастасия,Service,Rel,negative,explicit
уронила грязные приборы на гостя,Service,Rel,negative,fct
забирала посуду в которой еще находилась еда,Service,Rel,negative,fct
еда,Food,Rel,neutral,explicit
пустую посуду оставляла на столе,Service,Rel,negative,fct
Текилы,Food,Rel,neutral,explicit
лимон,Food,Rel,neutral,explicit
соль,Food,Rel,neutral,explicit
приносилось отдельно,Service,Rel,negative,fct
ресторан,Whole,Rel,negative,explicit
рестораны,Whole,Cmpr,positive,explicit
цене,Price,Cmpr,positive,explicit
качеству обслуживания,Service,Cmpr,positive,explicit
вкусные,Food,Rel,positive,implicit
суши,Food,Rel,positive,explicit
интерьер,Interior,Rel,neutral,explicit
Ресторан,Whole,Rel,both,explicit
Интерьер,Interior,Rel,positive,explicit
комфортный,Interior,Rel,positive,implicit
Кухня,Food,Rel,positive,explicit
суши,Food,Rel,positive,explicit
свежая,Food,Rel,positive,implicit
рыба,Food,Rel,positive,explicit
сваренный,Food,Rel,positive,explicit
рис,Food,Rel,positive,explicit
классичесикие суши,Food,Rel,positive,explicit
роллы,Food,Rel,positive,explicit
порции,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
вкусные,Food,Rel,positive,explicit
вареники с вишней,Food,Rel,positive,explicit
Сервис,Service,Rel,positive,explicit
Цены,Price,Rel,neutral,explicit
суши,Food,Rel,neutral,explicit
роллы,Food,Rel,neutral,explicit
напитки,Food,Rel,positive,explicit
не дорогие,Price,Rel,positive,implicit
место,Whole,Rel,positive,explicit
японской кухни,Food,Rel,neutral,explicit
ресторан,Whole,Rel,positive,explicit
ресторан,Whole,Cmpr,positive,explicit
обеда,Food,Cmpr,neutral,explicit
ужина,Food,Cmpr,neutral,explicit
пообедать,Food,Rel,neutral,explicit
перекусить,Food,Rel,positive,explicit
кофе,Food,Rel,negative,explicit
не вкусный,Food,Rel,negative,implicit
вкусный,Food,Rel,positive,implicit
обед,Food,Rel,positive,explicit
ресторан,Whole,Rel,neutral,explicit
интерьер,Interior,Rel,positive,explicit
красивое,Interior,Rel,positive,implicit
уютное,Interior,Rel,positive,implicit
место,Whole,Rel,positive,explicit
Обслуживающий персонал,Service,Rel,positive,explicit
официанту,Service,Rel,positive,explicit
официанту пришлось много нам объяснять,Service,Rel,positive,fct
азиатской такой кухней,Food,Rel,neutral,explicit
помог выбрать,Service,Rel,positive,fct
кокосовый суп с морепродуктами,Food,Rel,neutral,explicit
острый,Food,Rel,both,implicit
острое,Food,Rel,positive,implicit
блюда,Food,Rel,positive,explicit
`салат с апельсинами, рукколой и лососем`,Food,Rel,neutral,explicit
десерт,Food,Rel,neutral,explicit
манговый мусс,Food,Rel,neutral,explicit
лимонный десерт,Food,Rel,neutral,explicit
вкусно,Food,Rel,positive,implicit
заведение,Whole,Rel,positive,explicit
ресторане Анданте,Whole,Rel,neutral,explicit
ресторана,Whole,Cmpr,neutral,explicit
ресторана,Whole,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
администратором,Service,Rel,positive,explicit
приветливый,Service,Rel,positive,implicit
обслуживающий персонал,Service,Rel,positive,explicit
ресторане,Whole,Rel,positive,explicit
меню,Food,Rel,positive,explicit
на любой кошелек,Price,Rel,positive,implicit
закусок горячих и холодных,Food,Rel,positive,explicit
горячего,Food,Rel,positive,explicit
напитки,Food,Irr,positive,explicit
Кухня,Food,Rel,positive,explicit
атмосфера,Interior,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
вид из ресторана,Interior,Rel,positive,explicit
администрации,Service,Rel,positive,explicit
ресторан,Whole,Rel,neutral,explicit
бронирования столика по телефону,Service,Rel,neutral,explicit
вежливый,Service,Rel,positive,implicit
администратор,Service,Rel,positive,explicit
